ID,PRODUTO,CATEGORIA PRODUTO,QTDE,VALOR,DESCONTO,TOTAL,LOJA,VENDEDOR,CLIENTE,SEXO,ESTADO CIVIL,DATA,PERIODO,MES
1701,B,KP,8,235,0.0,1880.0,LRAP,XUFQN,IQJZLP UULXKKIW,m,c,2019-01-05,2019-01,1
1702,H,QG,7,239,0.01,1656.27,KCGE,TOPHN,UPPYLL CEYTOPLF,f,c,2019-04-07,2019-04,4
1703,N,HP,5,297,0.03,1440.45,HWRA,WHDGE,IWRDWC VVSWKNNE,-,-,2019-11-20,2019-11,11
1704,D,DJ,4,225,0.04,864.0,TVEP,GAOXE,TQAULZ OIUZGBKZ,m,d,2019-09-14,2019-09,9
1705,D,UA,5,189,0.0,945.0,ASDJ,OEJVZ,NTEDCQ OBSWOQCX,a,-,2019-06-22,2019-06,6
1706,M,VX,8,183,0.0,1464.0,UXIG,HGEWV,NQTFVI ASZWZQXF,a,c,2019-07-06,2019-07,7
1707,Z,DQ,2,171,0.02,335.16,WVGO,FECLD,HWWUTO VRJILKII,f,s,2019-03-19,2019-03,3
1708,X,IW,2,154,0.02,301.84,TNSB,DPPEV,NDDDLG ECQRWWPU,-,c,2019-02-24,2019-02,2
1709,Y,IT,6,265,0.02,1558.2,TARA,WOBPC,LRTVQE QBNVULIB,m,d,2019-10-12,2019-10,10
1710,F,CF,7,177,0.02,1214.22,KPYT,BOKRL,ILYFSD PLPQYKNB,f,-,2019-05-28,2019-05,5
1711,B,DZ,3,265,0.04,763.2,DTZS,CXIKN,DYLEGG QGNYKTSH,-,s,2019-03-23,2019-03,3
1712,J,SH,6,230,0.02,1352.4,MGRN,ANRNO,UAHQFT YQVDDHFO,a,s,2019-11-04,2019-11,11
1713,J,JG,9,262,0.04,2263.68,IGFN,ZZYNK,KTFGHS NGWOEEID,f,d,2019-08-22,2019-08,8
1714,T,OC,2,165,0.02,323.4,VFQR,SEIPQ,HAYVGA MDYEGBNH,a,-,2019-09-09,2019-09,9
1715,D,BG,9,253,0.0,2277.0,NEEV,WLHHH,IAANDB MTBWNTVH,a,c,2019-03-04,2019-03,3
1716,O,EB,1,197,0.01,195.03,PGBS,ISRRG,TWNNTP SJJIFVKW,f,d,2019-01-12,2019-01,1
1717,K,FM,5,298,0.0,1490.0,CFAM,RVTDV,KSDMKK PYSQFMKP,m,-,2019-05-13,2019-05,5
1718,B,PE,7,233,0.04,1565.76,AMQT,HPAXK,ROYYJB NJGXGNST,a,c,2019-05-27,2019-05,5
1719,F,UN,3,282,0.0,846.0,EHAI,QEDVT,LZSMNY KYUTIFVY,m,d,2019-11-23,2019-11,11
1720,J,JX,2,244,0.03,473.36,XIBQ,GJZMK,YOEJLN GTGHWIDC,f,d,2019-07-04,2019-07,7
1721,N,TF,8,284,0.04,2181.12,FRQC,DYZVG,AOMBBJ AMLRYIBB,f,s,2019-12-03,2019-12,12
1722,J,BA,8,224,0.0,1792.0,OMLF,APDHE,VCUAQS WYBZSXZS,m,c,2019-09-07,2019-09,9
1723,F,VQ,5,202,0.03,979.7,IPKB,SRVSY,THRRFB LLNUPRQG,m,s,2019-10-29,2019-10,10
1724,C,GE,8,251,0.0,2008.0,AJUO,ZBKWF,YXOVOR YYZNNOAG,-,d,2019-05-15,2019-05,5
1725,W,AM,1,214,0.02,209.72,CSOB,JUGUF,NPAZPW KCPYPGZM,a,d,2019-10-28,2019-10,10
1726,Y,BH,6,219,0.02,1287.72,ZCGN,JVIPR,FQIENE CRANEHUW,f,s,2019-05-12,2019-05,5
1727,E,GI,7,159,0.01,1101.87,HAVX,LNAPF,HKDYQK LFNTGDTA,m,-,2019-07-24,2019-07,7
1728,R,FT,8,189,0.03,1466.64,XMDP,RXMAT,TTTQZE ATCHFDJB,m,s,2019-06-24,2019-06,6
1729,R,HY,8,179,0.02,1403.36,ITHG,MXHDD,BRXPOD MSQKGPSL,a,d,2019-01-05,2019-01,1
1730,W,MB,3,280,0.02,823.2,ZQDB,TCEAK,SUYTCP MNNGOIAV,a,-,2019-11-21,2019-11,11
1731,R,BT,1,163,0.03,158.11,EZFI,JGCDU,UAZING PCMGWCDY,a,c,2019-09-07,2019-09,9
1732,G,LX,4,172,0.04,660.48,GMTD,OCCQV,ZNUAAL BTISLFBB,-,c,2019-09-15,2019-09,9
1733,B,ZH,1,201,0.02,196.98,FNJL,XTUME,DWMXQZ CQJAZXDK,f,d,2019-02-04,2019-02,2
1734,Z,ZO,5,296,0.02,1450.4,IVYG,ZATZT,KEWOPH HVSGIGET,a,s,2019-07-31,2019-07,7
1735,T,KZ,5,179,0.04,859.2,SAMA,RCYJS,XTGUHX NAKGVGSK,-,c,2019-02-19,2019-02,2
1736,Y,JG,2,277,0.0,554.0,LRXW,EAWSR,WKATAM WXBCJWEN,f,-,2019-11-24,2019-11,11
1737,H,OQ,8,163,0.03,1264.88,FVCC,GBHEJ,HFQOJH DVZUWZIF,a,c,2019-10-28,2019-10,10
1738,W,SD,1,299,0.01,296.01,PDLW,ZUZXC,CZRHHZ NFSYGEMD,f,s,2019-10-06,2019-10,10
1739,I,JJ,3,253,0.02,743.82,XOUB,UAEUN,MVSUJN LHWPYJBP,m,c,2019-12-25,2019-12,12
1740,E,GD,7,206,0.02,1413.16,ANQH,RKCJI,WDMOWY QNETHSAV,m,s,2019-02-26,2019-02,2
1741,J,UG,6,165,0.01,980.1,WQEV,LVJET,YLVVME ZEUWGEVF,m,-,2019-02-22,2019-02,2
1742,M,PF,4,160,0.0,640.0,VIIR,GPMBJ,SSZHWJ XXVUCVHS,f,s,2019-08-31,2019-08,8
1743,M,VA,8,190,0.03,1474.4,NLGS,BUTND,MWXUGV SQJXRQEV,m,s,2019-04-25,2019-04,4
1744,J,GR,6,223,0.03,1297.86,ZGVP,TJLIY,ERCKZV CPCZHTYR,-,c,2019-05-21,2019-05,5
1745,M,BK,7,237,0.04,1592.64,WQCU,RGEGJ,EICKKS MFNXMGUM,f,s,2019-10-19,2019-10,10
1746,Q,LC,5,278,0.01,1376.1,DIQT,WDCXS,LYBMZU LUQXFNWP,a,-,2019-03-17,2019-03,3
1747,C,WO,8,261,0.04,2004.48,RIJT,NWEEE,AYAFDA RORSHAJG,f,s,2019-02-11,2019-02,2
1748,V,XM,6,154,0.03,896.28,QNBZ,RFIYS,KNCIHW KONIKUBF,m,c,2019-08-22,2019-08,8
1749,B,RP,2,184,0.0,368.0,UXLJ,WLYRQ,HZSVFX FHBEMUVS,f,-,2019-10-31,2019-10,10
1750,P,RU,4,171,0.02,670.32,DZMV,CYOAY,HEFPIP OHJTDWJB,f,s,2019-08-14,2019-08,8
1751,X,IR,3,165,0.02,485.1,MFGO,PZVWJ,KKGVTI HUUUZKZN,-,c,2019-07-25,2019-07,7
1752,D,BB,6,217,0.02,1275.96,KMHT,BBFRE,NWBAIP UOXACYXP,f,d,2019-06-06,2019-06,6
1753,M,KW,5,159,0.02,779.1,DDIF,LPPSK,LDMRBJ UBXOBXGK,a,d,2019-08-08,2019-08,8
1754,G,ZE,3,263,0.03,765.33,PKDP,GJNIO,QTJHXL GKKUHZJK,f,c,2019-12-10,2019-12,12
1755,A,TI,2,243,0.04,466.56,WNBI,NIMNJ,PYKONX CIUESFPA,f,d,2019-11-22,2019-11,11
1756,F,EJ,3,225,0.04,648.0,QPVH,AKSDQ,FVCTWB KVLMXOYA,-,d,2019-04-22,2019-04,4
1757,X,QO,1,213,0.03,206.61,AJNA,TDLPI,DGMXVE FVATAKMI,a,d,2019-10-02,2019-10,10
1758,T,GO,5,259,0.0,1295.0,YFCW,JATDL,YNPNKF HCKADQTB,-,c,2019-08-12,2019-08,8
1759,W,WI,3,155,0.02,455.7,ZDFB,WQMDZ,AZRGIA YUBABLED,a,-,2019-02-24,2019-02,2
1760,W,OL,5,169,0.01,836.55,EJKZ,LFYHJ,XSAEIJ SIHPFWND,a,s,2019-08-16,2019-08,8
1761,D,GV,5,207,0.03,1003.95,EEZW,QFJHX,WFTNES FOMRWUAX,f,-,2019-12-21,2019-12,12
1762,P,YQ,9,153,0.02,1349.46,GACP,GHEUF,VPTQRB NAXHMAHE,m,c,2019-08-22,2019-08,8
1763,D,US,9,186,0.01,1657.26,UJUK,UPPNK,ECHNPS NZRMLYKJ,m,d,2019-01-07,2019-01,1
1764,W,NC,8,269,0.0,2152.0,CJUJ,ZZGSP,DGKMGZ VRWMLXJD,-,c,2019-07-05,2019-07,7
1765,U,YR,1,224,0.02,219.52,YZVP,QCDLK,XFWNTC TGHQLGCK,a,s,2019-04-07,2019-04,4
1766,T,DD,3,297,0.03,864.27,SZGK,MKEZF,NFYGJL ROGJDONL,m,-,2019-08-28,2019-08,8
1767,C,NQ,2,221,0.01,437.58,KZKJ,XIKHD,VCLKZA SMDPIJXC,a,d,2019-02-21,2019-02,2
1768,U,UR,8,242,0.0,1936.0,XITC,QUYXH,BLYFWL DSWYKQDS,f,d,2019-12-25,2019-12,12
1769,Z,TA,2,252,0.03,488.88,HVGD,JUAFG,ZHAUVW XAKOTMTO,m,-,2019-03-11,2019-03,3
1770,T,CA,4,289,0.02,1132.88,TBOI,NMTYX,BBPRNA IOXTNXTB,-,s,2019-09-26,2019-09,9
1771,Q,BY,7,203,0.01,1406.79,NSMZ,TGSVS,LODNYU YWCCRIWY,m,-,2019-07-22,2019-07,7
1772,K,KY,2,236,0.0,472.0,WBFF,IEEXU,DMNTJT INJVHHXE,f,c,2019-10-19,2019-10,10
1773,D,UE,2,274,0.02,537.04,YZTX,FDJKG,LQMHKP ISBJVHRL,-,-,2019-09-21,2019-09,9
1774,E,WF,8,262,0.04,2012.16,LSLB,QFKOM,ZWMTZC DXPDZNVY,m,s,2019-01-26,2019-01,1
1775,U,VL,6,256,0.04,1474.56,SPUJ,AJYCX,UQCCOD ZCLENXKF,f,-,2019-01-18,2019-01,1
1776,E,QO,5,169,0.03,819.65,YOTS,MSMBL,EMMJYC MYELREZT,m,s,2019-09-12,2019-09,9
1777,O,ZI,2,297,0.03,576.18,NMPE,IIOZK,HNEGYG XECTOPHT,m,d,2019-02-25,2019-02,2
1778,Z,ET,2,227,0.01,449.46,IHEF,JCYLT,KZSEKY TNWDLXFY,a,-,2019-06-02,2019-06,6
1779,Q,ZH,9,204,0.03,1780.92,DFCI,AFHTL,UVGWAO RNZDJYWR,a,c,2019-09-12,2019-09,9
1780,Q,AT,4,235,0.04,902.4,GLTR,MPBFP,CFKINW IOEHQUEW,m,c,2019-07-15,2019-07,7
1781,P,QE,6,282,0.0,1692.0,CBCZ,DEVBM,OVNBTZ IUUOQXVQ,-,s,2019-01-02,2019-01,1
1782,V,AK,7,229,0.01,1586.97,JRQS,UVNQQ,TLZDKO PASIPFWH,f,-,2019-12-09,2019-12,12
1783,Z,PU,4,222,0.04,852.48,UQMA,RLACT,QZBZEJ RDFVACWY,f,s,2019-02-15,2019-02,2
1784,L,GL,2,268,0.03,519.92,HVQR,HFBMJ,BDYENU PUHGGPVU,a,s,2019-06-09,2019-06,6
1785,G,CR,4,277,0.02,1085.84,ADFM,SSEMD,MKJGJR EHLBYAQB,m,s,2019-09-29,2019-09,9
1786,R,GV,4,164,0.02,642.88,LHPB,PODYR,UHDMFG QSRDDSBH,a,s,2019-04-30,2019-04,4
1787,J,WV,1,237,0.02,232.26,WCQJ,NMXUF,NUTCVC QPCTOFHT,m,s,2019-07-21,2019-07,7
1788,L,MZ,8,225,0.0,1800.0,IAAD,VGLJG,UYQARL UZGRRPUR,m,c,2019-08-09,2019-08,8
1789,K,YS,9,249,0.0,2241.0,KFEV,YLSPE,ATOCYR TCWJVYFJ,a,c,2019-10-14,2019-10,10
1790,R,YM,6,202,0.04,1163.52,BHAV,TTVFV,ADEBKR UUXEYNKT,m,d,2019-10-10,2019-10,10
1791,O,UK,6,233,0.04,1342.08,KVGT,FNHRS,TVBDXX JRZUTKOB,-,d,2019-07-08,2019-07,7
1792,X,FB,4,274,0.04,1052.16,WFAK,PRBOW,OTVDXC JJJIFHTP,m,c,2019-10-31,2019-10,10
1793,H,OM,3,228,0.0,684.0,SJRC,KFAXS,BMEYFO VFFOPAJQ,a,d,2019-10-20,2019-10,10
1794,B,UU,1,208,0.02,203.84,YHBF,LAKZX,GTAQUV AXJNAPBP,a,-,2019-06-01,2019-06,6
1795,H,YJ,1,163,0.03,158.11,EKYK,WHJZU,JSTJNL HOESRCPF,f,-,2019-10-19,2019-10,10
1796,R,YT,7,267,0.04,1794.24,NLSP,WBOCM,QEKJAL AICPEKLS,a,-,2019-09-27,2019-09,9
1797,M,QM,8,257,0.03,1994.32,IDBG,DVNSO,IZBDEZ YZWMWNAK,f,c,2019-04-14,2019-04,4
1798,H,YT,2,210,0.01,415.8,MKHN,RTDPI,ZPXBZG KBYXNVHU,a,c,2019-10-31,2019-10,10
1799,B,GA,2,282,0.03,547.08,TNNH,AYGYU,BMOSFV WGMSGJXF,m,d,2019-12-04,2019-12,12
1800,K,JB,8,269,0.03,2087.44,TPYM,MWLVM,OMKLSJ SEPJVRFG,a,d,2019-09-19,2019-09,9
1801,B,GH,3,250,0.02,735.0,PAKJ,WMJON,JJOTHA IAOFQMSJ,f,d,2019-08-22,2019-08,8
1802,N,XT,5,270,0.04,1296.0,FYXW,WAMCI,AIGAPD OGREAHTH,a,d,2019-12-06,2019-12,12
1803,L,ZA,6,251,0.0,1506.0,GCUL,NRJQB,XZUNNK CVJBSJAF,a,-,2019-03-26,2019-03,3
1804,L,FQ,2,281,0.04,539.52,IJZU,JNFAU,CBGMXZ HCOROONY,-,c,2019-04-06,2019-04,4
1805,F,CV,3,298,0.04,858.24,NDEA,HXLWV,RJPPNK FEJITSPQ,-,c,2019-10-16,2019-10,10
1806,P,OQ,1,284,0.03,275.48,SEAB,PSQDK,BBPAND YFJKGXHI,f,d,2019-02-20,2019-02,2
1807,L,VI,6,248,0.01,1473.12,BBOT,LQGVR,BSRFXU LZOTLADF,m,c,2019-02-01,2019-02,2
1808,U,KN,7,150,0.04,1008.0,WHWH,TGJLP,FEJHFV TJYGDJQO,f,-,2019-09-16,2019-09,9
1809,N,GX,9,277,0.03,2418.21,LNOK,CJIGM,WMRDPY ZYVJFAUT,a,-,2019-08-06,2019-08,8
1810,F,OP,8,230,0.02,1803.2,KJIX,NJMSC,NXNXJH UINFWAKN,-,c,2019-02-13,2019-02,2
1811,B,BD,4,193,0.04,741.12,BCTX,MGVWS,AMZWMQ AKNSFEXG,-,s,2019-04-07,2019-04,4
1812,K,CP,2,217,0.03,420.98,ATRY,NYAHZ,SHMHRA FTWSIYDY,-,-,2019-06-03,2019-06,6
1813,I,IC,6,299,0.0,1794.0,HVVZ,OEYSD,MPCXNL OIYVDYID,a,c,2019-07-28,2019-07,7
1814,L,PV,4,229,0.03,888.52,IGPE,JXOIQ,JSJNCE WXLRHHMR,a,c,2019-01-09,2019-01,1
1815,J,XS,6,167,0.02,981.96,BFJM,UZHHJ,NBINAF GIZDUDIW,f,s,2019-03-29,2019-03,3
1816,S,SA,3,238,0.01,706.86,GPFT,VTZKO,VFGBRT IGZFVWXX,-,s,2019-10-18,2019-10,10
1817,G,RN,8,238,0.03,1846.88,JNHK,BERNF,HARUIA CIQORIID,m,-,2019-05-14,2019-05,5
1818,T,PE,6,197,0.02,1158.36,BTHH,AKEXV,HJQPOO TZLXGIAA,-,s,2019-02-04,2019-02,2
1819,G,DA,3,292,0.03,849.72,OXEJ,VWJLT,JFKMUD EXVHWQMG,f,s,2019-02-20,2019-02,2
1820,O,UE,4,190,0.01,752.4,UCHE,XZCWL,WNVMZV RTXBOQMT,m,d,2019-09-03,2019-09,9
1821,I,LT,3,163,0.03,474.33,WJTL,GSRTT,EYXEQB OOIIXZBS,a,s,2019-02-16,2019-02,2
1822,R,WD,6,155,0.01,920.7,LGIV,OGGSY,RTFSWJ HFYXBOJS,-,-,2019-02-17,2019-02,2
1823,M,ZA,9,178,0.02,1569.96,GKKD,HMEHS,KCQBLZ FHYJLMRY,a,s,2019-08-09,2019-08,8
1824,S,JD,1,250,0.02,245.0,XQWY,UKHVX,EPHUCU BIFANBYD,f,-,2019-06-11,2019-06,6
1825,W,LT,5,282,0.03,1367.7,LCFA,CIBWU,YWIEYT GSLAXXXR,m,-,2019-02-03,2019-02,2
1826,E,AD,7,289,0.04,1942.08,VCSI,QSPFG,QMANMG JZVHOMLK,-,d,2019-09-13,2019-09,9
1827,K,OH,2,231,0.02,452.76,DTWS,REKHX,LJJBVM WWHLFKXK,a,-,2019-03-30,2019-03,3
1828,Z,MI,4,298,0.04,1144.32,HSZW,VPSOT,NTTPUV EHDBPOEF,m,s,2019-09-05,2019-09,9
1829,O,AH,1,190,0.03,184.3,PYWE,ZMUQZ,ZZXXKJ LPNJNIQX,m,c,2019-12-19,2019-12,12
1830,A,FR,8,162,0.04,1244.16,AEAV,FFNBT,KXCTGN MGMCIJIJ,-,c,2019-07-26,2019-07,7
1831,B,SN,7,286,0.04,1921.92,ZCJV,LWRZN,SUVGOM JYYBRBQX,-,s,2019-12-05,2019-12,12
1832,H,NY,2,223,0.0,446.0,GQPA,UXRQS,VPOMUV TMROYJLS,a,s,2019-02-07,2019-02,2
1833,I,KO,2,295,0.0,590.0,VSQF,YNCMO,RLTPLM XVRWQEXT,m,c,2019-01-09,2019-01,1
1834,F,VK,7,198,0.03,1344.42,GVKC,JUQSG,LEFQDU GSTRPBLI,m,d,2019-03-17,2019-03,3
1835,U,YL,7,229,0.04,1538.88,SAPE,YVSWN,SWQAOW KUZZLYGW,m,d,2019-07-30,2019-07,7
1836,V,LZ,4,277,0.0,1108.0,JQCQ,CCKXQ,NBNPIG SKZAYGNX,f,-,2019-12-12,2019-12,12
1837,O,RT,3,249,0.01,739.53,EQYS,AGVIZ,OAFMOY LRCMYIYB,a,c,2019-02-02,2019-02,2
1838,Z,RQ,3,280,0.0,840.0,HUBD,CPARO,GYNXWY AWRDXWPU,m,c,2019-12-26,2019-12,12
1839,E,QY,3,264,0.04,760.32,GBZY,YLFAW,CTZIGN UKJULYPS,m,d,2019-07-28,2019-07,7
1840,K,GZ,1,177,0.0,177.0,YVCP,KCVTH,QUEOHJ GXNCPLFN,a,d,2019-04-03,2019-04,4
1841,S,VI,6,178,0.0,1068.0,ZHYL,PFQQS,AUOTCI XURPMCUF,a,-,2019-02-17,2019-02,2
1842,R,GD,4,173,0.02,678.16,VSZK,QRYOS,KPFGLB SHONRUDJ,a,-,2019-01-26,2019-01,1
1843,A,AU,4,178,0.02,697.76,XEKX,AZOEW,JCSDXY HYVLWRQA,f,-,2019-06-26,2019-06,6
1844,A,NZ,6,285,0.04,1641.6,ZGEO,FNZNK,KWVJXQ RBCSHRDZ,-,c,2019-08-07,2019-08,8
1845,H,II,4,165,0.01,653.4,STQP,PWUCY,KXQCGC KPSYQGYX,-,-,2019-06-18,2019-06,6
1846,L,IF,2,151,0.01,298.98,QAKO,YCGCL,ISTPMX OJPLXESD,a,c,2019-01-29,2019-01,1
1847,S,LK,2,284,0.02,556.64,IEPY,BZMFS,OCMLMM JGKGWZZO,a,d,2019-07-09,2019-07,7
1848,F,IE,5,174,0.01,861.3,EVUU,YLWVM,HTCBWC PZXBKZHH,m,s,2019-01-26,2019-01,1
1849,W,VR,3,275,0.02,808.5,ERGZ,BRARO,OJIAUI CFGTIYPA,-,c,2019-09-28,2019-09,9
1850,Y,UB,9,280,0.03,2444.4,PPDE,ORIUH,VJSRUM CJSQRXAL,f,s,2019-04-02,2019-04,4
1851,N,OV,8,185,0.0,1480.0,PFCH,DKQEJ,LAUMMS QGMJPLVS,-,s,2019-07-10,2019-07,7
1852,T,AW,1,261,0.02,255.78,FTJL,TZLFU,TGZVIY BHQJXWMU,f,c,2019-09-20,2019-09,9
1853,T,BE,5,285,0.04,1368.0,RUJN,MOKZU,VKVZDF NYRASBOQ,a,-,2019-04-03,2019-04,4
1854,C,BV,4,281,0.01,1112.76,DCSE,CWXIA,CPMXGQ LEFLBRGR,m,-,2019-04-18,2019-04,4
1855,X,DX,4,268,0.04,1029.12,ZZHF,YQNIB,UHTPTB DPFGAQHW,m,d,2019-06-08,2019-06,6
1856,I,LH,9,190,0.04,1641.6,FQHG,ZKINS,GGESRD TMLPTYMG,f,d,2019-06-06,2019-06,6
1857,N,VD,7,254,0.04,1706.88,CJEK,OUUCQ,IWBJII HIPJDJOL,f,c,2019-03-17,2019-03,3
1858,L,RX,9,271,0.02,2390.22,NQUB,NHMFT,YQAFBO FMKIWCOE,a,c,2019-03-23,2019-03,3
1859,X,GS,6,245,0.01,1455.3,ACTB,AKZOZ,XDQZIX UZHMYZGU,-,-,2019-02-26,2019-02,2
1860,L,NN,4,244,0.04,936.96,RQBH,XDKNA,DIQZBR UMTDXLAE,a,-,2019-10-27,2019-10,10
1861,X,FY,5,219,0.01,1084.05,MUUC,OVVNB,TNGTYX SNQUNZMG,f,-,2019-07-09,2019-07,7
1862,O,QQ,7,264,0.01,1829.52,DWZM,PNAGZ,ZCXFFH JVOGRXUI,-,-,2019-01-28,2019-01,1
1863,N,TN,9,249,0.03,2173.77,DPWE,BTYQV,JNHHWV EDNEWNSU,m,-,2019-05-02,2019-05,5
1864,E,LK,6,297,0.03,1728.54,POKF,RKRFP,IMDGNM UDYYGFUJ,m,d,2019-08-23,2019-08,8
1865,E,OT,9,215,0.01,1915.65,GQTF,ZUXPY,WCOKEG IYDKDGJL,-,d,2019-12-27,2019-12,12
1866,I,IZ,9,290,0.01,2583.9,HKFL,BDFMH,ERUDXT JUTPEBES,f,-,2019-04-21,2019-04,4
1867,L,CA,6,250,0.02,1470.0,WWDI,AZTLQ,NHNUOK GZRVRAWD,m,d,2019-05-12,2019-05,5
1868,Y,CY,8,175,0.02,1372.0,XALP,BBLJC,SFNUBF PBKDKTMS,m,-,2019-01-26,2019-01,1
1869,B,AB,9,205,0.03,1789.65,MDYJ,YIBMM,HBZROQ MKCNPEOK,a,c,2019-10-07,2019-10,10
1870,C,GO,5,236,0.04,1132.8,UDUH,BNAZS,QZYBPK OQZJJVPL,-,d,2019-10-07,2019-10,10
1871,P,TZ,2,189,0.0,378.0,JWGD,EFIXL,HVQDAH RUKZFLRG,-,c,2019-05-15,2019-05,5
1872,Q,NJ,2,159,0.03,308.46,YIVH,XNYWQ,VIWAVR AHVINOCW,m,s,2019-01-24,2019-01,1
1873,L,EU,7,215,0.0,1505.0,NEUQ,NBDDK,FVQVUZ PVLNTQUY,a,c,2019-08-01,2019-08,8
1874,O,FG,4,269,0.0,1076.0,OBLB,NKHJI,WMXULJ UZULWIWW,f,s,2019-04-18,2019-04,4
1875,W,JU,5,226,0.03,1096.1,VVNL,HQYQX,ILAUBF QLSEPOBQ,-,c,2019-09-17,2019-09,9
1876,U,KB,8,189,0.03,1466.64,CUYV,UOUGP,YERKCN OCSKIDKD,-,-,2019-10-25,2019-10,10
1877,R,WO,6,289,0.03,1681.98,ESNZ,LWKOI,QZWJZU UBMHTHWR,a,s,2019-11-23,2019-11,11
1878,D,YJ,8,152,0.01,1203.84,JDIM,ZRBFW,QTLWGM YKVHPRDO,m,s,2019-01-16,2019-01,1
1879,J,AV,3,297,0.02,873.18,KOJE,TQUCN,BBQZJF RMWVIXRA,f,d,2019-03-20,2019-03,3
1880,S,CQ,2,189,0.03,366.66,VXYZ,JKUQR,EIUIEA ELDDJLXR,m,d,2019-09-19,2019-09,9
1881,S,DP,2,241,0.02,472.36,RWWD,KLTVC,WNVIUK IQLAJFRV,f,s,2019-08-27,2019-08,8
1882,H,XH,5,282,0.04,1353.6,BMVQ,VCHMD,QMHLTB PVADSACA,m,d,2019-01-25,2019-01,1
1883,A,NL,3,218,0.01,647.46,RQTR,DNYYI,QNDNQM HKSKMQRE,m,-,2019-10-03,2019-10,10
1884,U,VZ,6,282,0.03,1641.24,AWTW,ZJIZD,GPBVZW YLQCRHHQ,-,d,2019-06-09,2019-06,6
1885,X,TI,9,212,0.02,1869.84,ELPI,VIZQF,IKRWDG FMDYCWFT,a,-,2019-05-25,2019-05,5
1886,Q,DP,6,278,0.03,1617.96,BHJR,JFTGB,WMOWFP XOJSXJTC,f,c,2019-03-12,2019-03,3
1887,J,GU,4,163,0.03,632.44,YEAD,CEIUL,EOQXTR ZCLAORAW,f,s,2019-12-18,2019-12,12
1888,C,HA,2,266,0.04,510.72,LPXS,TDRYT,URVQGC WDJNTJUP,f,c,2019-12-05,2019-12,12
1889,P,DQ,9,258,0.02,2275.56,XKEZ,NOPVI,LFECSG POMFBKRS,m,d,2019-12-20,2019-12,12
1890,V,DL,6,203,0.02,1193.64,ZNHI,ZMMCU,OKMGFI TUHUBKAA,a,s,2019-01-17,2019-01,1
1891,T,LL,3,273,0.01,810.81,EFIL,VPEMR,DHDIMW MEKDZRDD,f,-,2019-05-15,2019-05,5
1892,N,DO,2,203,0.04,389.76,GYES,LDQLR,NCIICH OMWIFINL,f,c,2019-01-30,2019-01,1
1893,S,ZG,7,286,0.04,1921.92,EONS,JILDO,XVSOEI EHAZHLOP,f,d,2019-01-25,2019-01,1
1894,R,QF,4,269,0.0,1076.0,QECF,YLUXS,UDDXQY UUOKUUVB,f,d,2019-08-29,2019-08,8
1895,E,TD,1,162,0.0,162.0,EKAU,WYHJU,BAHAPU FIKFTNHU,f,-,2019-02-06,2019-02,2
1896,B,RF,1,234,0.01,231.66,HZZY,EBJAG,DIAOYJ QJGXZAEP,a,d,2019-11-19,2019-11,11
1897,X,CP,2,199,0.0,398.0,IEFM,YLNYR,KMZMED UUFELQXD,f,d,2019-11-09,2019-11,11
1898,X,FH,8,204,0.0,1632.0,OCKG,LQGKJ,IDNNDF OODFARXP,-,d,2019-02-25,2019-02,2
1899,T,UR,1,176,0.0,176.0,PTYT,LZNQR,GGSFHB QWJFKLVF,m,c,2019-11-14,2019-11,11
1900,F,EH,9,190,0.02,1675.8,DFQI,SZXMO,BEYJKB VPUTUMVH,a,c,2019-05-05,2019-05,5
1901,N,YW,2,291,0.04,558.72,NFIY,UXOQT,FFBJIW FYHDWAXA,f,s,2019-08-27,2019-08,8
1902,I,UK,9,179,0.03,1562.67,OCHL,XQEMR,IDMTSN RRTHOLGU,a,d,2019-10-08,2019-10,10
1903,Q,FB,8,184,0.01,1457.28,TRTT,TBFAO,RVBYZM RXBURGAN,m,d,2019-07-01,2019-07,7
1904,O,VB,3,203,0.02,596.82,PCOG,TGXEQ,ODUXZB WDBZIBTA,-,s,2019-05-10,2019-05,5
1905,G,PD,5,169,0.04,811.2,WUXU,WNDDZ,SPCVTH VULAEOQQ,-,s,2019-04-21,2019-04,4
1906,Y,LG,4,217,0.02,850.64,XXRM,TBUKG,AWMTQN OYCMVBXL,a,c,2019-12-26,2019-12,12
1907,S,TT,2,260,0.01,514.8,AWRO,FQPNQ,FNCMOY QDAARKGD,a,c,2019-11-15,2019-11,11
1908,E,JE,2,261,0.04,501.12,FBFT,ZNEBF,FVGTYE WNTQJNPL,f,-,2019-03-26,2019-03,3
1909,C,DS,6,213,0.03,1239.66,JRBU,CIJOI,DXKYRF EFDSKBIX,f,-,2019-02-09,2019-02,2
1910,Q,DM,1,295,0.0,295.0,TUNI,VKLWM,VYQTKJ CTTNTHAP,m,-,2019-01-03,2019-01,1
1911,L,AR,1,167,0.04,160.32,IYSY,BVUDA,EAKFZW XWUZTMON,f,-,2019-08-28,2019-08,8
1912,X,EY,9,255,0.04,2203.2,PGIR,DEIRJ,EFXXBH RVBTVDKL,-,d,2019-10-12,2019-10,10
1913,V,KO,6,243,0.02,1428.84,ALJG,UAQTX,WPIJZT GJFYBNTC,f,s,2019-02-03,2019-02,2
1914,F,MT,9,220,0.03,1920.6,OMPH,IWCLL,ERFMWD WVOZNBBC,m,c,2019-01-27,2019-01,1
